name,prompt,negative_prompt
negatif_skin,,"tan skin, brown skin, dark skin"
negatif_small,,"lowres, blurry, bad anatomy, bad hands, missing fingers, extra limbs, deformed, disfigured, bad proportions, worst quality, low quality, jpeg artifacts, watermark, text"
negatif_detail,,"lowres, blurry, bad anatomy, bad hands, missing fingers, extra fingers, fused fingers, mutated hands, deformed, malformed, extra limbs, extra arms, extra legs, missing limbs, bad proportions, long neck, unnatural pose, stiff pose, cloned face, poorly drawn face, poorly drawn hands, bad feet, mutated body, distorted, disfigured, cropped, out of frame, tiling, error, signature, watermark, username, text, jpeg artifacts, worst quality, low quality"
Spreading_Legs,Spreading Legs,"close legs, cross legs"
Dynamic_Pose,"dynamic action pose, cinematic angle, varied motion, unique stance","static pose, stiff, awkward pose, low action, boring composition, flat angle, bad perspective, motion blur, repetitive, frozen body, unnatural pose,rigid body"
Main_Prompt_Dynamic,"beautiful woman, ({nude,realistic pussy, uncensored,public hair|topless, uncensored, natural medium breast}:3)",
Main_Prompt_nude,"beautiful woman, (nude,realistic pussy, uncensored,public hair:3)",
Main_Prompt_topless,"beautiful woman, (topless, uncensored, natural medium breast:3)",
cinematic,"masterpiece, best quality, cinematic lighting, dramatic shadows, ultra-detailed",
anime,"anime style, colorful, vibrant, 2D illustration, cel shading, highly detailed",
digital_art,"digital painting, concept art, artstation trending, ultra-detailed, fantasy style",
portrait,"portrait, ultra realistic, sharp focus, professional photography, depth of field, 85mm lens",
film_noir,"black and white, high contrast, dramatic lighting, film grain, noir style, moody atmosphere",
cyberpunk,"cyberpunk, neon lights, futuristic cityscape, rain, high detail, glowing signs",
fantasy,"epic fantasy, highly detailed, dramatic lighting, intricate armor, magical atmosphere, concept art",
oil_painting,"oil painting, brush strokes, baroque, renaissance art, classic art style",
sketch,"pencil sketch, monochrome, hand-drawn, cross-hatching, simple lines, minimalistic",
sci_fi,"sci-fi, spaceship, futuristic, alien planet, detailed, cinematic lighting",
vaporwave,"vaporwave aesthetic, neon pink and blue, 80s retro, surreal, synthwave background, grid horizon",
dark_fantasy,"dark fantasy, gothic, moody atmosphere, intricate armor, blood, fire, skulls, epic lighting",
pixar_3d,"Pixar style, 3D render, cute, stylized, soft lighting, smooth textures, cinematic",
korean_beauty,"ultra realistic portrait, korean beauty, smooth skin, soft light, studio lighting, high detail",
isometric,"isometric perspective, pixel art, game asset, clean lines, highly detailed",
steampunk,"steampunk, gears, brass, mechanical, Victorian style, highly detailed",
low_poly,"low poly, simple geometry, minimalist 3D, colorful",
watercolor,"watercolor painting, soft strokes, pastel colors, paper texture, traditional art",
surreal,"surrealism, dreamlike, Salvador Dali style, strange shapes, abstract, ultra detailed",
line_art,"clean line art, ink drawing, manga style, monochrome, high contrast",
retro_comic,"retro comic book style, halftone dots, bold outlines, 1960s Marvel, vibrant colors",
photorealistic,"ultra photorealistic, best quality, HDR, sharp details, realistic skin texture, professional lighting",
gothic,"gothic art, dark cathedral, stained glass, moody lighting, medieval fantasy, highly detailed",
medieval,"medieval illustration, knights, castles, parchment texture, old manuscript, detailed",
ukiyoe,"ukiyo-e, Japanese woodblock print, Hokusai style, traditional colors, detailed lines",
impressionism,"impressionist painting, Claude Monet style, brush strokes, soft light, pastel colors",
synthwave,"synthwave, neon lights, retro future, grid horizon, purple and blue tones",
minimalist,"minimalist art, clean shapes, simple lines, flat colors, modern design",
fantasy_landscape,"fantasy landscape, epic mountains, magical lighting, vast scenery, ultra-detailed",
horror,"horror style, creepy, dark, scary atmosphere, blood, shadows, ultra detailed",
neonpunk,"neonpunk, futuristic, glowing tattoos, cyber aesthetic, urban city, dark vibe",
street_photography,"street photography, candid, realistic, city life, natural lighting, high detail",
retro_futurism,"retro futurism, 60s sci-fi style, chrome, rockets, vintage future aesthetic",
divider_costume_styles,,
sport,"sport outfit, athletic wear, gym clothing, sneakers, dynamic pose",
sport_bra,"sport bra, tight fit, athletic, gym lighting, fitness model",
swimsuit,"swimsuit, beach, summer, wet skin, water reflections",
lingerie,"lingerie, lace, sexy, bedroom light, intimate atmosphere",
bikini,"bikini, beach, ocean, summer vibe, detailed body",
casual,"casual outfit, jeans, t-shirt, sneakers, relaxed pose",
sheer_outfit,"sheer see-through fabric, transparent, delicate lace, seductive",
bodysuit,"tight bodysuit, glossy fabric, curves accentuated, stylish",
micro_bikini,"micro bikini, very small swimsuit, bold summer style",
monokini,"monokini swimsuit, cut-out design, sexy summer vibe",
crop_top,"crop top, short shirt, sporty sexy casual, midriff exposed",
tank_top,"tight tank top, simple casual sexy look, sleeveless",
mini_dress,"short mini dress, slim fit, seductive, night out vibe",
tube_top,"strapless tube top, simple and revealing style",
stockings,"stockings, thigh highs, garter belt, intimate detail",
hotpants,"short hotpants, denim shorts, casual summer sexy",
mesh_outfit,"mesh outfit, fishnet fabric, see-through pattern, edgy sexy",
fishnet_stockings,"fishnet stockings, high detail, punk or fetish vibe",
halter_top,"halter top, sleeveless, backless design, casual sexy",
tube_dress,"tight strapless tube dress, short, party style",
slip_dress,"slip dress nightwear, thin straps, semi-sheer, sensual vibe",
lace_dress,"lace mini dress, semi-transparent, romantic sexy",
swim_shorts,"tight swim shorts, wet fabric, summer sporty look",
sarong_wrap,"sarong beach wrap, thin fabric, revealing legs",
crop_hoodie,"crop hoodie, casual sporty, midriff exposed",
leotard,"leotard, tight one-piece, dancewear, stage outfit",
babydoll,"babydoll sleepwear, sheer fabric, lace trim, playful style",
negligee,"negligee, transparent fabric, lingerie-inspired nightwear",
camisole,"camisole top, satin fabric, lingerie inspired casual wear",
bodystocking,"full-body fishnet or lace bodystocking, highly revealing",
pasties,"nipple pasties, minimal coverage, provocative style",
g-string,"g-string underwear, ultra minimal, erotic look",
thong_bikini,"thong bikini, minimal swimsuit, daring summer style",
sheer_robes,"sheer robe, transparent layer, intimate boudoir look",
open_shirt,"unbuttoned shirt, loose and casual, chest exposed",
ripped_outfit,"ripped clothes, torn fabric, distressed sexy style",
divider_clubwear_fetish_styles,,
latex_dress,"tight latex mini dress, glossy surface, party fetish vibe",
leather_outfit,"black leather outfit, straps, edgy clubwear, dominant look",
harness_style,"body harness straps, buckles, fetish accessory",
bodice_corset,"tight corset, lace-up front, waist emphasis, gothic sexy",
choker_accessory,"choker necklace, leather or lace, fetish touch",
fetish_mask,"latex mask, fetish costume, mysterious allure",
bodystocking_fishnet,"fishnet bodystocking, full body revealing, erotic vibe",
rave_outfit,"rave outfit, neon colors, glowing accessories, bold party style",
clubwear_glitter,"clubwear glitter dress, sparkling, short, flashy nightlife",
dominatrix_style,"dominatrix outfit, latex/leather, whip accessory, commanding vibe",
divider_exotic_dance_styles,,
belly_dancer,"belly dancer outfit, flowing fabric, golden jewelry, exotic dance pose",
pole_dancer,"pole dance outfit, minimal clothing, high heels, stage lighting",
burlesque,"burlesque costume, corset, feathers, stockings, glamorous cabaret vibe",
cabaret_performer,"cabaret performer outfit, glitter, stage lights, feathered hat",
showgirl,"showgirl costume, extravagant feathers, sequins, Las Vegas style",
exotic_dancer,"exotic dancer outfit, bold colors, sensual stage performance",
stripper_style,"stripper outfit, revealing lingerie, neon stage, seductive aura",
harem_outfit,"harem outfit, sheer fabric, jewelry, Middle Eastern vibe",
go_go_dancer,"go-go dancer costume, colorful outfit, platform boots, club scene",
carnival_dancer,"carnival dancer costume, vibrant feathers, festival stage",
divider_nightwear_styles,,
pajamas,"pajamas set, cozy fabric, casual sleepwear, relaxed vibe",
silk_robe,"silk robe, flowing fabric, luxurious feel, soft sheen",
satin_nightgown,"satin nightgown, smooth fabric, delicate straps, elegant nightwear",
teddy,"teddy lingerie, one-piece, lace or satin, intimate design",
chemise,"chemise nightwear, soft fabric, body-hugging, feminine look",
bathrobe,"bathrobe, fluffy fabric, tied waist, morning casual look",
camisole_set,"camisole top with shorts, satin or cotton, comfy intimate wear",
divider_extreme_revealing_styles,,
tape_outfit,"body tape outfit, black tape lingerie, minimal coverage, bold erotic style",
body_paint,"body paint outfit, artistic illusion of clothing, nude effect",
micro_monokini,"micro monokini, ultra small swimsuit, extreme cut-out design",
string_bikini,"string bikini, thin straps, minimal fabric, daring beachwear",
open_back_dress,"open back mini dress, silky fabric, seductive evening look",
side_slit_dress,"side slit dress, high slit, revealing legs, elegant but sexy",
sheer_bodycon,"sheer bodycon dress, transparent fabric, tight fit, nightclub vibe",
strap_dress,"strap mini dress, thin spaghetti straps, body-hugging, bold look",
cutout_dress,"cut-out mini dress, strategic openings, daring sexy style",
barely_there_bra,"barely there bra, ultra minimal fabric, extreme lingerie",
divider_exotic_partywear_styles,,
sequin_micro_dress,"sequin micro dress, sparkling fabric, ultra short, nightclub vibe",
mesh_catsuit,"mesh catsuit, transparent body-hugging suit, bold party outfit",
neon_rave_outfit,"neon rave outfit, glowing colors, fishnet, bold accessories",
holographic_mini,"holographic mini dress, shiny reflective fabric, futuristic clubwear",
latex_catsuit,"latex catsuit, glossy surface, full body tight outfit, fetish party style",
chainmail_dress,"metallic chainmail mini dress, bold exotic look, revealing outfit",
sheer_party_dress,"sheer party dress, transparent fabric, bold nightlife fashion",
crystal_outfit,"crystal embellished outfit, sparkling gems, festival glamour",
feather_costume,"feather costume, carnival inspired, exotic party vibe",
glitter_bodysuit,"glitter bodysuit, sparkling fabric, skin-tight, showgirl style",
evening_gown,"elegant evening gown, luxury dress, high fashion, dramatic lighting",
cosplay,"cosplay costume, character outfit, colorful, detailed accessories",
maid,"maid outfit, frilly dress, apron, classic anime style",
nurse,"nurse uniform, white dress, medical theme, clinical lighting",
schoolgirl,"schoolgirl uniform, pleated skirt, blouse, youthful style",
business_suit,"business suit, formal wear, tie, shirt, leather shoes",
tuxedo,"tuxedo, bowtie, elegant, black and white, high class",
casual_male,"casual male outfit, t-shirt, jeans, sneakers, relaxed",
streetwear,"streetwear, hoodie, ripped jeans, sneakers, urban vibe",
punk_style,"punk style, leather jacket, spikes, chains, mohawk",
goth_style,"goth style, black outfit, corset, choker, dark aesthetic",
knight_armor,"medieval knight armor, sword, shield, battle stance",
samurai_armor,"samurai armor, katana, traditional japanese warrior",
futuristic_soldier,"futuristic soldier, sci-fi armor, glowing visor",
ninja,"ninja outfit, black mask, stealth pose, shuriken",
pirate,"pirate outfit, long coat, tricorn hat, sword, old ship",
viking,"viking armor, fur clothing, axe, horned helmet",
idol_outfit,"idol outfit, glitter, microphone, stage lighting",
witch,"witch costume, black dress, hat, magic staff, spell aura",
fairy,"fairy costume, wings, glowing aura, magical forest",
santa,"Santa Claus costume, red outfit, Christmas vibe",
bunny_girl,"bunny girl outfit, bunny ears, corset, stockings",
cheerleader,"cheerleader outfit, pom-poms, pleated skirt, stadium",
kimono,"kimono, japanese traditional wear, obi, cherry blossoms",
hanbok,"hanbok, korean traditional dress, pastel colors",
cheongsam,"cheongsam, chinese traditional dress, high slit, elegant",
sari,"sari, indian traditional dress, silk fabric, golden jewelry",
batik_dress,"batik dress, indonesian traditional pattern, modern style",
hijab_style,"hijab fashion, muslimah outfit, modest, elegant",
angel,"angelic costume, white dress, wings, glowing aura",
demon,"demonic costume, horns, black wings, fire aura",
succubus,"succubus costume, gothic lingerie, horns, red aura",
mermaid,"mermaid tail, undersea, shimmering scales, fantasy",
goddess,"goddess costume, golden dress, crown, divine aura",
carnival,"carnival costume, feathers, colorful, brazilian festival",
halloween,"halloween costume, spooky, pumpkin, vampire, horror",
masquerade,"masquerade ball, elegant gown, ornate mask, ballroom",
circus_performer,"circus performer outfit, clown glamor, circus tent",
egyptian_queen,"egyptian queen, cleopatra style, gold jewelry, eyeliner",
divider_environment_styles,,
urband_city,"urban city, skyscrapers, neon lights, bustling streets",
desert,"desert landscape, dunes, oasis, hot sun",
snow_mountain,"snowy mountains, fog, cold atmosphere",
underwater,"underwater scene, coral reef, tropical fish, light rays",
forest,"dense forest, sunlight through leaves, mystical vibe",
volcano,"volcano eruption, lava, smoke, dramatic sky",
savanna,"african savanna, acacia trees, wildlife, sunset",
space,"outer space, stars, galaxies, cosmic background",
beach,"tropical beach, palm trees, waves, golden sand",
castle,"medieval castle, stone walls, dramatic lighting",
divider_superhero_styles,,
wonder_woman,"Wonder Woman, DC Comics, superhero, strong female pose",
batman,"Batman Costume, DC Comics, superhero, dark knight, heroic pose",
superman,"Superman Costume, DC Comics, superhero, flying, heroic pose",
spiderman,"Spider-Man Costume, Marvel Comics, superhero, web-slinging, dynamic pose, city skyline",
ironman,"Iron Man Costume, Marvel Comics, superhero, flying, action pose",
captain_america,"Captain America Costume, DC Comics, superhero, heroic pose",
thor,"Thor Costume, Marvel Comics, superhero, lightning, epic pose",
hulk,"The Hulk Costume, Marvel Comics, superhero, muscular, smashing action",
wonder_team,"Justice League superheroes together: Batman, Superman, Wonder Woman, Flash, Aquaman, group pose",
avengers,"The Avengers group, Marvel superheroes, epic battle scene, group action",
black_widow,"Black Widow, Marvel Comics, superhero, female spy, action pose",
scarlet_witch,"Scarlet Witch, Marvel Comics, superhero, magic aura, glowing hands",
captain_marvel,"Captain Marvel, Marvel Comics, superhero, glowing energy, flying pose",
deadpool,"Deadpool Costume, Marvel Comics, anti-hero, sarcastic pose, action",
venom,"Venom Costume, Marvel Comics, anti-hero, muscular, scary atmosphere",
flash,"The Flash Costume, DC Comics, superhero, running fast, speed trail",
aquaman,"Aquaman Costume, DC Comics, superhero, underwater kingdom, trident, action pose",
green_lantern,"Green Lantern Costume, DC Comics, superhero, glowing green power, cosmic action",
doctor_strange,"Doctor Strange Costume, Marvel Comics, superhero, mystic arts, magic circle, glowing runes",
wolverine,"Wolverine Costume, Marvel Comics, superhero, claws extended, action pose",
divider_game_styles,,
harry_potter,"Harry Potter style, wizard robes, magic spells, Hogwarts",
lord_of_the_rings,"Lord of the Rings style, Middle-earth, elves, dwarves, epic battles",
game_of_thrones,"Game of Thrones style, castles, dragons, epic battles",
star_wars,"Star Wars style, Jedi and Sith, lightsabers, galactic war",
matrix,"The Matrix style, slow motion action, futuristic city",
avatar_pandora,"Avatar Pandora style, glowing blue Na'vi, alien jungle",
witcher,"The Witcher style, Geralt, monsters, medieval fantasy",
elden_ring,"Elden Ring style, epic bosses, gothic ruins, vast landscapes",
skyrim,"Skyrim style, dragons, medieval towns, snowy mountains",
cyberpunk_2077,"Cyberpunk 2077 style, futuristic city, cybernetic enhancements",
assassins_creed,"Assassin's Creed style, hooded assassins, parkour, ancient cities",
red_dead_redemption,"Red Dead Redemption style, western cowboy, horseback riding",
gta_v,"GTA V style, urban realism, modern city, cars, gangsters",
minecraft,"Minecraft style, voxel blocks, pixelated, colorful",
overwach,"Overwatch style, colorful futuristic hero shooter, stylized characters",
fortnite,"Fortnite style, cartoonish battle royale, exaggerated proportions",
fifa,"FIFA style, football match, players in action, stadium",
pes,"Pro Evolution Soccer style, football realism, jerseys, gameplay",
nba,"NBA 2K style, basketball, dunk, indoor court",
ufc,"UFC style, mixed martial arts, octagon, fighters in action",
f1,"Formula 1 racing style, race cars, racing circuit, motion blur",
gran_turismo,"Gran Turismo style, race cars, racing circuit, ultra realism",
forza,"Forza Horizon style, cinematic car photography, open world",
need_for_speed,"Need for Speed style, street racing, neon city, fast cars",
tony_hawk,"Tony Hawk Pro Skater style, skateboarding tricks, urban skatepark",
fifa_street,"FIFA Street style, street football, freestyle tricks, urban court",
divider_absurd_styles,,
banana_knight,"absurd surreal art, banana knight, armored banana warrior",
cat_president,"absurd surreal art, cat in suit as president, podium",
cowboy_in_space,"absurd surreal art, cowboy riding horse in outer space",
toaster_mecha,"absurd surreal art, giant mecha robot shaped like a toaster",
fish_with_legs,"absurd surreal art, fish walking with human legs",
penguin_barista,"absurd surreal art, penguin as a barista, coffee shop",
dog_samurai,"absurd surreal art, dog wearing samurai armor, katana",
chair_kingdom,"absurd surreal art, kingdom of living chairs, surreal fantasy",
pizza_universe,"absurd surreal art, universe made of pizza planets",
rubber_duck_apocalypse,"absurd surreal art, rubber duck invasion, giant ducks destroying city",
divider_lighting_styles,,
golden_hour,"golden hour lighting, warm sunset glow, soft shadows",
moonlight,"moonlight, night scene, cool blue tones, soft lighting",
neon_glow,"neon glow, cyberpunk lights, colorful reflections",
spotlight,"theatrical spotlight, dramatic focus lighting",
firelight,"firelight, warm glow, shadows, campfire atmosphere",
candlelight,"romantic candlelight, soft warm light, intimate mood",
foggy,"foggy scene, mist, soft diffusion, moody atmosphere",
stormy,"stormy sky, lightning, dramatic clouds, dark lighting",
backlight,"backlighting, silhouette, rim light effect",
studio_softbox,"studio lighting, softbox, professional photo style",
divider_photography_styles,,
fisheye,"fisheye lens, wide distortion, circular frame",
drone_view,"drone view, aerial shot, bird-eye perspective",
macro,"macro photography, extreme close-up, tiny details",
long_exposure,"long exposure, light trails, smooth water, motion blur",
polaroid,"polaroid photo, vintage instant film, retro colors",
dslr_highres,"DSLR style, crisp focus, depth of field, high resolution",
panorama,"panoramic view, wide shot, expansive landscape",
bokeh,"bokeh effect, blurred background, shallow depth of field",
infrared,"infrared photography, surreal colors, heat-map effect",
night_photography,"night photography, city lights, stars, dark tones",
divider_character_styles,,
cyborg,"cyborg character, robotic parts, glowing circuits, mechanical details",
vampire,"vampire character, pale skin, fangs, gothic outfit, dark aura",
zombie,"zombie character, undead, decayed body, horror atmosphere",
princess,"princess character, royal gown, tiara, elegant castle background",
magical_girl,"magical girl, anime style, glowing staff, transformation aura",
knight_hero,"heroic knight, shining armor, sword, shield, epic pose",
samurai_warrior,"samurai warrior, katana, traditional armor, battle stance",
witch_dark,"dark witch, black robes, magic spell, glowing runes",
alien,"alien character, extraterrestrial, unusual skin, sci-fi background",
robot,"robot character, futuristic design, metallic body, glowing eyes",
divider_art_medium_styles,,
